transition_id,transition_date,from_sku,to_sku,from_package_size,to_package_size,worker_skill,crew_size,days_since_last_clean,equipment_condition,shift,day_of_week,setup_time,labor_cost,material_loss,wash_cost,packaging_time,downtime,sequence_violation_ref
TR-0011,2026-04-12,SKU-WHITE-001,SKU-ORANGE-001,4L,1L,0.9,5,3,1.0,day,6,24.07,102282.81,3.0,37130.15,12.19,10.94,0
TR-0012,2026-04-13,SKU-WHITE-001,SKU-PURPLE-001,18L,1L,0.9,4,7,0.3,day,0,32.5,110506.01,4.29,47865.89,12.95,14.77,0
TR-0013,2026-04-14,SKU-IVORY-001,SKU-WHITE-001,4L,4L,0.3,3,4,0.3,day,1,15.19,38731.89,1.75,20831.42,7.58,6.9,0
TR-0014,2026-04-15,SKU-IVORY-001,SKU-IVORY-001,1L,1L,0.6,3,1,0.7,day,2,11.08,28266.63,1.21,15608.12,7.21,5.04,0
TR-0015,2026-04-16,SKU-IVORY-001,SKU-YELLOW-001,18L,18L,0.3,2,5,0.3,day,3,19.13,32528.96,2.15,30853.23,7.94,8.7,0
TR-0016,2026-04-17,SKU-IVORY-001,SKU-RED-001,4L,1L,0.3,5,0,1.0,night,4,24.56,104396.33,3.08,37763.07,12.23,11.17,0
TR-0017,2026-04-18,SKU-IVORY-001,SKU-BLUE-001,1L,18L,0.9,5,4,1.0,night,5,27.49,116822.56,3.6,41484.3,12.5,12.49,0
TR-0018,2026-04-19,SKU-IVORY-001,SKU-GREEN-001,18L,4L,0.6,3,3,1.0,night,6,25.29,64480.03,3.23,38682.54,12.3,11.49,0
TR-0019,2026-04-20,SKU-IVORY-001,SKU-GRAY-001,4L,18L,0.6,5,0,0.3,day,0,23.23,98717.78,2.86,36062.54,12.11,10.56,0
TR-0020,2026-04-21,SKU-IVORY-001,SKU-BLACK-001,4L,4L,0.9,3,7,1.0,day,1,29.7,75737.0,4.08,44301.0,8.9,13.5,0
TR-0021,2026-04-22,SKU-IVORY-001,SKU-SILVER-001,4L,1L,0.9,3,0,0.7,day,2,24.48,62421.82,2.76,37655.28,12.23,11.13,0
TR-0022,2026-04-23,SKU-IVORY-001,SKU-GOLD-001,1L,4L,0.3,3,4,0.7,night,3,27.78,70848.56,3.19,41861.14,12.53,12.63,0
TR-0023,2026-04-24,SKU-IVORY-001,SKU-ORANGE-001,18L,18L,0.6,3,1,0.3,day,4,21.2,54060.97,2.6,33482.3,8.13,9.64,0
TR-0024,2026-04-25,SKU-IVORY-001,SKU-PURPLE-001,1L,18L,0.9,2,7,0.3,night,5,31.37,53330.57,4.08,46426.63,12.85,14.26,0
TR-0025,2026-04-26,SKU-YELLOW-001,SKU-WHITE-001,4L,4L,0.9,2,0,0.3,night,6,18.15,30850.22,2.14,29596.42,7.85,8.25,0
TR-0026,2026-04-27,SKU-YELLOW-001,SKU-IVORY-001,1L,1L,0.6,4,5,0.7,night,0,18.0,61193.1,2.03,29406.51,7.84,8.18,0
TR-0027,2026-04-28,SKU-YELLOW-001,SKU-YELLOW-001,1L,1L,0.9,5,5,1.0,night,1,11.16,47436.48,1.22,15705.58,7.21,5.07,0
TR-0028,2026-04-29,SKU-YELLOW-001,SKU-RED-001,1L,18L,0.9,5,2,0.3,night,2,25.18,107016.74,3.08,38547.79,12.29,11.45,0
TR-0029,2026-04-30,SKU-YELLOW-001,SKU-BLUE-001,1L,18L,0.9,2,1,0.3,day,3,26.97,45848.01,3.48,40824.71,12.45,12.26,0
TR-0030,2026-05-01,SKU-YELLOW-001,SKU-GREEN-001,18L,18L,0.9,4,7,0.7,night,4,23.4,79559.32,2.95,36281.56,8.33,10.64,0
TR-0031,2026-05-02,SKU-YELLOW-001,SKU-GRAY-001,18L,4L,0.9,5,4,0.3,day,5,23.03,97892.63,2.77,35815.44,12.09,10.47,0
TR-0032,2026-05-03,SKU-YELLOW-001,SKU-BLACK-001,4L,1L,0.9,4,2,0.3,night,6,30.77,104609.37,4.13,45658.59,12.8,13.99,0
TR-0033,2026-05-04,SKU-YELLOW-001,SKU-SILVER-001,4L,1L,0.3,2,2,0.3,day,0,25.55,43433.1,2.81,39016.76,12.32,11.61,0
TR-0034,2026-05-05,SKU-YELLOW-001,SKU-GOLD-001,18L,4L,0.3,4,1,1.0,day,1,24.38,82903.86,2.75,37533.53,12.22,11.08,0
TR-0035,2026-05-06,SKU-YELLOW-001,SKU-ORANGE-001,18L,1L,0.9,4,0,0.3,night,2,21.57,73351.67,2.58,33957.85,11.96,9.81,0
TR-0036,2026-05-07,SKU-YELLOW-001,SKU-PURPLE-001,1L,1L,0.9,3,3,0.3,day,3,25.52,65064.49,3.37,38974.25,8.52,11.6,0
TR-0037,2026-05-08,SKU-RED-001,SKU-WHITE-001,1L,18L,0.9,5,1,0.7,day,4,25.93,110194.88,3.32,39499.54,12.36,11.79,0
TR-0038,2026-05-09,SKU-RED-001,SKU-IVORY-001,18L,18L,0.3,3,7,0.7,night,5,24.61,62764.16,3.09,37826.14,8.44,11.19,0
TR-0039,2026-05-10,SKU-RED-001,SKU-YELLOW-001,18L,18L,0.6,2,4,1.0,day,6,21.41,36402.42,2.67,33753.15,8.15,9.73,0
TR-0040,2026-05-11,SKU-RED-001,SKU-RED-001,4L,4L,0.9,4,7,1.0,night,0,12.09,41110.44,1.32,16888.93,7.3,5.5,0
TR-0041,2026-05-12,SKU-RED-001,SKU-BLUE-001,4L,4L,0.9,3,1,0.7,night,1,17.48,44563.62,2.11,28742.09,7.79,7.94,0
TR-0042,2026-05-13,SKU-RED-001,SKU-GREEN-001,18L,18L,0.3,4,1,0.7,day,2,16.61,56488.42,1.88,27645.4,7.71,7.55,0
TR-0043,2026-05-14,SKU-RED-001,SKU-GRAY-001,4L,1L,0.6,5,3,1.0,day,3,20.18,85754.97,2.28,32180.63,11.83,9.17,0
TR-0044,2026-05-15,SKU-RED-001,SKU-BLACK-001,4L,1L,0.9,4,0,0.3,day,4,24.31,82670.98,3.1,37446.35,12.21,11.05,0
TR-0045,2026-04-01,SKU-RED-001,SKU-SILVER-001,18L,18L,0.6,4,3,0.7,day,2,25.33,86106.37,3.07,38732.33,8.5,11.51,0
TR-0046,2026-04-02,SKU-RED-001,SKU-GOLD-001,4L,18L,0.3,4,6,0.7,night,3,28.14,95669.03,3.31,42311.94,12.56,12.79,0
TR-0047,2026-04-03,SKU-RED-001,SKU-ORANGE-001,18L,4L,0.6,4,6,0.3,night,4,23.14,78663.86,2.64,35946.36,12.1,10.52,0
TR-0048,2026-04-04,SKU-RED-001,SKU-PURPLE-001,4L,18L,0.6,3,3,0.3,day,5,23.53,60007.38,2.82,36450.21,12.14,10.7,0
TR-0049,2026-04-05,SKU-BLUE-001,SKU-WHITE-001,18L,4L,0.9,2,6,1.0,day,6,29.47,50096.06,3.9,44005.07,12.68,13.39,1
TR-0050,2026-04-06,SKU-BLUE-001,SKU-IVORY-001,4L,1L,0.3,2,3,0.3,night,0,30.33,51568.86,3.91,45107.71,12.76,13.79,1
TR-0051,2026-04-07,SKU-BLUE-001,SKU-YELLOW-001,4L,1L,0.9,4,7,0.7,night,1,28.49,96869.61,3.64,42761.35,12.59,12.95,1
TR-0052,2026-04-08,SKU-BLUE-001,SKU-RED-001,4L,4L,0.6,5,1,1.0,day,2,16.96,72096.98,2.05,28090.54,7.74,7.71,0
TR-0053,2026-04-09,SKU-BLUE-001,SKU-BLUE-001,18L,18L,0.9,3,4,0.7,day,3,11.97,30528.49,1.31,16737.04,7.29,5.44,0
TR-0054,2026-04-10,SKU-BLUE-001,SKU-GREEN-001,1L,18L,0.3,2,7,0.7,night,4,22.56,38360.1,2.59,35218.79,12.05,10.26,0
TR-0055,2026-04-11,SKU-BLUE-001,SKU-GRAY-001,18L,18L,0.3,4,2,0.7,day,5,21.29,72390.94,2.6,33598.21,8.14,9.68,0
TR-0056,2026-04-12,SKU-BLUE-001,SKU-BLACK-001,1L,4L,0.6,2,0,1.0,day,6,19.93,33884.42,2.42,31868.02,11.81,9.06,0
TR-0057,2026-04-13,SKU-BLUE-001,SKU-SILVER-001,4L,18L,0.6,4,3,0.7,night,0,31.33,106530.15,3.93,46377.6,12.85,14.24,1
TR-0058,2026-04-14,SKU-BLUE-001,SKU-GOLD-001,18L,18L,0.9,2,3,0.3,day,1,28.43,48327.24,3.55,42680.82,8.78,12.92,0
TR-0059,2026-04-15,SKU-BLUE-001,SKU-ORANGE-001,4L,4L,0.3,5,5,0.7,day,2,21.78,92566.68,2.69,34220.5,8.18,9.9,0
TR-0060,2026-04-16,SKU-BLUE-001,SKU-PURPLE-001,4L,1L,0.3,2,2,0.7,day,3,19.72,33517.55,2.21,31593.35,11.79,8.96,0
TR-0061,2026-04-17,SKU-GREEN-001,SKU-WHITE-001,18L,4L,0.6,3,1,1.0,night,4,26.44,67420.12,3.44,40149.97,12.4,12.02,0
TR-0062,2026-04-18,SKU-GREEN-001,SKU-IVORY-001,1L,18L,0.3,3,5,0.3,night,5,28.17,71836.54,3.54,42354.24,12.56,12.81,0
TR-0063,2026-04-19,SKU-GREEN-001,SKU-YELLOW-001,4L,4L,0.9,5,2,0.7,day,6,21.2,90097.45,2.71,33481.05,8.13,9.64,0
TR-0064,2026-04-20,SKU-GREEN-001,SKU-RED-001,4L,4L,0.9,5,6,0.3,night,0,18.47,78490.73,2.08,30005.25,7.88,8.39,0
TR-0065,2026-04-21,SKU-GREEN-001,SKU-BLUE-001,1L,4L,0.3,2,6,0.3,night,1,23.37,39725.74,2.68,36241.2,12.12,10.62,0
TR-0066,2026-04-22,SKU-GREEN-001,SKU-GREEN-001,1L,1L,0.9,3,2,0.3,night,2,12.06,30752.91,1.32,16849.05,7.3,5.48,0
TR-0067,2026-04-23,SKU-GREEN-001,SKU-GRAY-001,18L,4L,0.6,4,0,0.3,day,3,21.28,72359.38,2.47,33586.4,11.93,9.67,0
TR-0068,2026-04-24,SKU-GREEN-001,SKU-BLACK-001,1L,4L,0.9,4,3,0.7,day,4,24.11,81989.55,3.01,37191.28,12.19,10.96,0
TR-0069,2026-04-25,SKU-GREEN-001,SKU-SILVER-001,1L,4L,0.9,4,0,0.7,night,5,26.94,91611.44,3.32,40793.05,12.45,12.25,0
TR-0070,2026-04-26,SKU-GREEN-001,SKU-GOLD-001,1L,1L,0.6,5,5,0.3,day,6,27.04,114915.64,3.26,40913.24,8.66,12.29,0
TR-0071,2026-04-27,SKU-GREEN-001,SKU-ORANGE-001,18L,1L,0.3,4,3,0.3,day,0,22.4,76171.09,2.62,35013.24,12.04,10.18,0
TR-0072,2026-04-28,SKU-GREEN-001,SKU-PURPLE-001,4L,1L,0.3,2,6,0.3,day,1,24.09,40952.84,2.82,37159.88,12.19,10.95,0
TR-0073,2026-04-29,SKU-GRAY-001,SKU-WHITE-001,1L,18L,0.9,4,6,0.7,day,2,25.65,87212.59,3.21,39146.42,12.33,11.66,0
TR-0074,2026-04-30,SKU-GRAY-001,SKU-IVORY-001,18L,4L,0.3,3,6,0.3,day,3,25.88,65994.8,3.15,39438.58,12.35,11.76,0
TR-0075,2026-05-01,SKU-GRAY-001,SKU-YELLOW-001,4L,1L,0.6,5,5,1.0,day,4,22.21,94376.88,2.68,34762.6,12.02,10.09,0
TR-0076,2026-05-02,SKU-GRAY-001,SKU-RED-001,18L,1L,0.6,5,6,0.3,day,5,22.75,96698.46,2.56,35457.83,12.07,10.34,0
TR-0077,2026-05-03,SKU-GRAY-001,SKU-BLUE-001,4L,4L,0.3,2,6,0.7,night,6,22.64,38484.42,2.75,35311.87,8.26,10.29,0
TR-0078,2026-05-04,SKU-GRAY-001,SKU-GREEN-001,1L,18L,0.3,3,2,0.3,night,0,22.77,58064.08,2.63,35480.29,12.07,10.35,0
TR-0079,2026-05-05,SKU-GRAY-001,SKU-GRAY-001,18L,1L,0.3,4,5,0.7,day,1,15.66,53239.56,1.71,21429.25,11.42,7.12,0
TR-0080,2026-05-06,SKU-GRAY-001,SKU-BLACK-001,4L,18L,0.9,4,5,1.0,day,2,26.28,89360.84,3.39,39950.58,12.39,11.95,0
TR-0081,2026-05-07,SKU-GRAY-001,SKU-SILVER-001,4L,1L,0.9,3,1,0.7,night,3,26.15,66692.68,3.09,39786.9,12.38,11.89,0
TR-0082,2026-05-08,SKU-GRAY-001,SKU-GOLD-001,1L,1L,0.9,4,0,0.7,night,4,22.43,76249.57,2.61,35042.62,8.24,10.19,0
TR-0083,2026-05-09,SKU-GRAY-001,SKU-ORANGE-001,4L,4L,0.9,5,4,1.0,night,5,15.35,65258.4,1.71,26042.62,7.6,6.98,0
TR-0084,2026-05-10,SKU-GRAY-001,SKU-PURPLE-001,1L,18L,0.9,5,7,0.7,day,6,25.01,106288.63,3.06,38329.75,12.27,11.37,0
TR-0085,2026-05-11,SKU-BLACK-001,SKU-WHITE-001,1L,4L,0.6,5,1,0.7,day,0,32.54,138286.9,4.48,47912.12,12.96,14.79,1
TR-0086,2026-05-12,SKU-BLACK-001,SKU-IVORY-001,18L,4L,0.9,2,5,1.0,day,1,31.48,53516.53,4.28,46565.85,12.86,14.31,1
TR-0087,2026-05-13,SKU-BLACK-001,SKU-YELLOW-001,1L,1L,0.6,3,1,0.7,day,2,27.12,69162.62,3.74,41019.67,8.67,12.33,1
TR-0088,2026-05-14,SKU-BLACK-001,SKU-RED-001,18L,4L,0.3,2,3,0.3,day,3,26.83,45605.96,3.37,40643.5,12.44,12.19,0
TR-0089,2026-05-15,SKU-BLACK-001,SKU-BLUE-001,1L,1L,0.6,3,5,1.0,day,4,19.05,48564.94,2.32,30739.18,7.93,8.66,0
TR-0090,2026-04-01,SKU-BLACK-001,SKU-GREEN-001,4L,4L,0.9,3,3,0.3,night,2,22.78,58076.64,2.86,35486.56,8.27,10.35,0
TR-0091,2026-04-02,SKU-BLACK-001,SKU-GRAY-001,18L,18L,0.3,4,1,1.0,night,3,22.98,78135.63,3.03,35748.63,8.29,10.45,0
TR-0092,2026-04-03,SKU-BLACK-001,SKU-BLACK-001,18L,18L,0.3,2,6,1.0,night,4,12.51,21267.06,1.36,17421.86,7.34,5.69,0
TR-0093,2026-04-04,SKU-BLACK-001,SKU-SILVER-001,4L,1L,0.6,3,2,1.0,day,5,33.67,85853.44,4.43,49350.2,13.06,15.3,1
TR-0094,2026-04-05,SKU-BLACK-001,SKU-GOLD-001,1L,1L,0.3,2,6,0.7,day,6,31.82,54101.33,4.16,47003.67,9.09,14.47,0
TR-0095,2026-04-06,SKU-BLACK-001,SKU-ORANGE-001,18L,1L,0.9,5,5,0.7,night,0,27.5,116885.05,3.56,41503.01,12.5,12.5,0
TR-0096,2026-04-07,SKU-BLACK-001,SKU-PURPLE-001,18L,4L,0.3,4,5,0.3,night,1,23.43,79669.05,2.75,36322.64,12.13,10.65,0
TR-0097,2026-04-08,SKU-SILVER-001,SKU-WHITE-001,1L,18L,0.3,2,4,0.7,day,2,28.34,48176.93,3.27,42568.29,12.58,12.88,1
TR-0098,2026-04-09,SKU-SILVER-001,SKU-IVORY-001,18L,4L,0.3,4,6,0.7,night,3,27.67,94072.2,3.11,41714.19,12.52,12.58,1
TR-0099,2026-04-10,SKU-SILVER-001,SKU-YELLOW-001,4L,18L,0.6,5,5,0.7,day,4,25.18,107033.81,2.77,38552.91,12.29,11.45,1
TR-0100,2026-04-11,SKU-SILVER-001,SKU-RED-001,1L,18L,0.9,5,5,0.7,night,5,28.87,122696.76,3.46,43243.41,12.62,13.12,1
TR-0101,2026-04-12,SKU-SILVER-001,SKU-BLUE-001,18L,4L,0.9,2,5,0.7,day,6,31.12,52903.27,3.91,46106.72,12.83,14.15,1
TR-0102,2026-04-13,SKU-SILVER-001,SKU-GREEN-001,1L,1L,0.9,2,3,0.7,night,0,25.76,43791.83,3.19,39285.33,8.54,11.71,1
TR-0103,2026-04-14,SKU-SILVER-001,SKU-GRAY-001,1L,18L,0.6,2,6,0.7,night,1,27.81,47269.74,3.27,41889.11,12.53,12.64,1
TR-0104,2026-04-15,SKU-SILVER-001,SKU-BLACK-001,18L,18L,0.3,4,6,0.7,night,2,33.13,112635.35,4.37,48662.96,9.21,15.06,1
TR-0105,2026-04-16,SKU-SILVER-001,SKU-SILVER-001,4L,4L,0.9,3,2,0.7,day,3,11.34,28924.32,1.24,15936.38,7.23,5.16,0
TR-0106,2026-04-17,SKU-SILVER-001,SKU-GOLD-001,18L,1L,0.3,5,0,0.3,day,4,20.27,86155.31,2.28,32300.52,11.84,9.21,0
TR-0107,2026-04-18,SKU-SILVER-001,SKU-ORANGE-001,4L,4L,0.6,5,2,0.7,night,5,22.9,97341.47,2.7,35650.39,8.28,10.41,1
TR-0108,2026-04-19,SKU-SILVER-001,SKU-PURPLE-001,4L,4L,0.9,4,2,0.7,night,6,28.23,95971.34,3.65,42425.1,8.77,12.83,1
TR-0109,2026-04-20,SKU-GOLD-001,SKU-WHITE-001,4L,18L,0.9,3,1,1.0,night,0,26.69,68067.12,3.16,40472.9,12.43,12.13,1
TR-0110,2026-04-21,SKU-GOLD-001,SKU-IVORY-001,4L,1L,0.9,5,6,1.0,night,1,27.17,115462.24,3.12,41076.93,12.47,12.35,1
TR-0111,2026-04-22,SKU-GOLD-001,SKU-YELLOW-001,4L,1L,0.3,3,7,0.7,night,2,27.49,70087.84,3.09,41481.45,12.5,12.49,1
TR-0112,2026-04-23,SKU-GOLD-001,SKU-RED-001,4L,18L,0.9,4,6,0.7,night,3,27.96,95072.0,3.29,42088.45,12.54,12.71,1
TR-0113,2026-04-24,SKU-GOLD-001,SKU-BLUE-001,4L,1L,0.6,5,7,0.7,day,4,31.69,134682.04,3.9,46832.59,12.88,14.4,1
TR-0114,2026-04-25,SKU-GOLD-001,SKU-GREEN-001,18L,4L,0.3,4,0,0.7,day,5,26.97,91710.15,3.25,40830.0,12.45,12.26,1
TR-0115,2026-04-26,SKU-GOLD-001,SKU-GRAY-001,18L,4L,0.9,5,6,0.3,day,6,27.92,118673.41,3.21,42038.56,12.54,12.69,1
TR-0116,2026-04-27,SKU-GOLD-001,SKU-BLACK-001,4L,18L,0.9,5,7,0.7,day,0,34.27,145638.04,4.43,50113.53,13.12,15.58,1
TR-0117,2026-04-28,SKU-GOLD-001,SKU-SILVER-001,1L,4L,0.3,2,6,1.0,day,1,20.08,34135.86,2.26,32056.26,11.83,9.13,0
TR-0118,2026-04-29,SKU-GOLD-001,SKU-GOLD-001,1L,18L,0.3,2,0,0.7,night,2,14.6,24813.21,1.59,20076.74,11.33,6.63,0
TR-0119,2026-04-30,SKU-GOLD-001,SKU-ORANGE-001,18L,4L,0.6,5,4,0.7,day,3,25.84,109832.18,2.95,39390.92,12.35,11.75,1
TR-0120,2026-05-01,SKU-GOLD-001,SKU-PURPLE-001,18L,1L,0.3,5,4,0.7,night,4,31.18,132527.65,3.9,46187.42,12.83,14.17,1
TR-0121,2026-05-02,SKU-ORANGE-001,SKU-WHITE-001,1L,4L,0.9,2,2,1.0,night,5,23.63,40174.53,2.96,36577.19,12.15,10.74,0
TR-0122,2026-05-03,SKU-ORANGE-001,SKU-IVORY-001,18L,18L,0.6,3,4,1.0,day,6,20.23,51595.27,2.5,32251.65,8.04,9.2,0
TR-0123,2026-05-04,SKU-ORANGE-001,SKU-YELLOW-001,18L,1L,0.9,3,5,1.0,night,0,21.75,55450.89,2.59,34176.02,11.98,9.88,0
TR-0124,2026-05-05,SKU-ORANGE-001,SKU-RED-001,1L,1L,0.9,3,4,0.3,day,1,19.19,48933.87,2.2,30923.32,7.94,8.72,0
TR-0125,2026-05-06,SKU-ORANGE-001,SKU-BLUE-001,1L,4L,0.3,3,6,0.3,day,2,26.5,67583.41,3.2,40231.47,12.41,12.05,0
TR-0126,2026-05-07,SKU-ORANGE-001,SKU-GREEN-001,18L,18L,0.9,5,6,0.7,day,3,19.29,81978.26,2.28,31049.64,7.95,8.77,0
TR-0127,2026-05-08,SKU-ORANGE-001,SKU-GRAY-001,4L,4L,0.3,2,2,0.3,day,4,18.18,30910.76,2.02,29641.75,7.85,8.26,0
TR-0128,2026-05-09,SKU-ORANGE-001,SKU-BLACK-001,4L,18L,0.6,2,5,1.0,night,5,26.92,45771.04,3.49,40767.09,12.45,12.24,0
TR-0129,2026-05-10,SKU-ORANGE-001,SKU-SILVER-001,18L,4L,0.3,4,6,1.0,day,6,26.93,91562.62,3.14,40774.78,12.45,12.24,0
TR-0130,2026-05-11,SKU-ORANGE-001,SKU-GOLD-001,18L,1L,0.6,2,2,1.0,day,0,24.64,41892.83,2.82,37863.62,12.24,11.2,0
TR-0131,2026-05-12,SKU-ORANGE-001,SKU-ORANGE-001,1L,4L,0.9,5,3,1.0,night,1,13.32,56590.59,1.45,18446.91,11.21,6.05,0
TR-0132,2026-05-13,SKU-ORANGE-001,SKU-PURPLE-001,1L,18L,0.6,2,5,0.3,night,2,26.45,44962.41,3.25,40161.7,12.4,12.02,0
TR-0133,2026-05-14,SKU-PURPLE-001,SKU-WHITE-001,18L,1L,0.9,4,1,0.3,day,3,30.35,103185.36,4.06,45125.53,12.76,13.79,1
TR-0134,2026-05-15,SKU-PURPLE-001,SKU-IVORY-001,4L,4L,0.3,4,2,1.0,day,4,25.98,88333.74,3.49,39566.11,8.56,11.81,1
TR-0135,2026-04-01,SKU-PURPLE-001,SKU-YELLOW-001,18L,1L,0.3,5,2,1.0,day,2,27.4,116438.81,3.58,41369.38,12.49,12.45,1
TR-0136,2026-04-02,SKU-PURPLE-001,SKU-RED-001,18L,4L,0.3,2,7,1.0,day,3,23.05,39192.46,2.77,35841.95,12.1,10.48,0
TR-0137,2026-04-03,SKU-PURPLE-001,SKU-BLUE-001,18L,4L,0.3,5,3,0.7,night,4,19.94,84762.58,2.23,31883.45,11.81,9.07,0
TR-0138,2026-04-04,SKU-PURPLE-001,SKU-GREEN-001,4L,18L,0.3,2,7,0.3,day,5,24.57,41776.35,2.87,37776.41,12.23,11.17,0
TR-0139,2026-04-05,SKU-PURPLE-001,SKU-GRAY-001,18L,1L,0.9,2,1,0.7,day,6,23.17,39380.59,2.86,35982.8,12.11,10.53,0
TR-0140,2026-04-06,SKU-PURPLE-001,SKU-BLACK-001,1L,18L,0.3,4,1,0.7,day,0,20.85,70886.02,2.46,33034.87,11.9,9.48,0
TR-0141,2026-04-07,SKU-PURPLE-001,SKU-SILVER-001,18L,18L,0.6,3,4,0.3,day,1,30.18,76968.93,3.86,44915.87,8.94,13.72,1
TR-0142,2026-04-08,SKU-PURPLE-001,SKU-GOLD-001,18L,18L,0.6,2,0,1.0,day,2,26.12,44405.76,3.35,39744.96,8.57,11.87,0
TR-0143,2026-04-09,SKU-PURPLE-001,SKU-ORANGE-001,1L,18L,0.6,4,1,0.7,night,3,24.04,81732.62,2.99,37095.1,12.19,10.93,0
TR-0144,2026-04-10,SKU-PURPLE-001,SKU-PURPLE-001,4L,1L,0.6,2,4,1.0,day,4,13.88,23593.34,1.51,19163.47,11.26,6.31,0
TR-0145,2026-04-11,SKU-YELLOW-001,SKU-RED-001,1L,4L,0.3,3,5,0.3,night,5,26.37,67250.29,3.21,40065.21,12.4,11.99,0
TR-0146,2026-04-12,SKU-IVORY-001,SKU-IVORY-001,4L,4L,0.6,2,6,0.3,night,6,14.22,24179.62,1.55,19602.39,7.49,6.47,0
TR-0147,2026-04-13,SKU-YELLOW-001,SKU-GRAY-001,1L,4L,0.3,3,3,0.3,night,0,23.33,59501.59,2.8,36197.76,12.12,10.61,0
TR-0148,2026-04-14,SKU-GRAY-001,SKU-GOLD-001,4L,4L,0.9,2,1,0.7,night,1,22.39,38068.13,2.61,35000.2,8.24,10.18,0
TR-0149,2026-04-15,SKU-YELLOW-001,SKU-WHITE-001,18L,18L,0.9,2,6,1.0,day,2,18.14,30832.78,2.13,29583.37,7.85,8.24,0
TR-0150,2026-04-16,SKU-BLUE-001,SKU-WHITE-001,18L,1L,0.3,5,7,0.3,day,3,32.6,138557.08,4.25,47993.03,12.96,14.82,1
TR-0151,2026-04-17,SKU-SILVER-001,SKU-SILVER-001,18L,4L,0.6,2,5,0.7,night,4,15.43,26232.25,1.68,21139.12,11.4,7.01,0
TR-0152,2026-04-18,SKU-GREEN-001,SKU-PURPLE-001,1L,18L,0.3,4,3,1.0,day,5,21.22,72132.82,2.5,33501.59,11.93,9.64,0
TR-0153,2026-04-19,SKU-SILVER-001,SKU-BLUE-001,18L,18L,0.9,4,7,0.7,night,6,29.09,98901.78,3.68,43522.06,8.84,13.22,1
TR-0154,2026-04-20,SKU-GOLD-001,SKU-PURPLE-001,1L,18L,0.9,4,2,1.0,day,0,29.2,99291.36,3.69,43667.89,12.65,13.27,1
TR-0155,2026-04-21,SKU-GOLD-001,SKU-RED-001,18L,4L,0.9,5,3,0.7,night,1,26.6,113036.17,3.15,40350.4,12.42,12.09,1
TR-0156,2026-04-22,SKU-GOLD-001,SKU-SILVER-001,1L,4L,0.9,3,3,0.7,night,2,19.32,49268.12,2.17,31090.15,11.76,8.78,0
TR-0157,2026-04-23,SKU-BLACK-001,SKU-YELLOW-001,1L,1L,0.9,3,1,0.7,day,3,26.96,68752.07,3.72,40814.76,8.65,12.26,1
TR-0158,2026-04-24,SKU-PURPLE-001,SKU-RED-001,1L,4L,0.6,3,4,0.7,day,4,22.05,56229.3,2.66,34564.54,12.0,10.02,0
TR-0159,2026-04-25,SKU-GRAY-001,SKU-RED-001,18L,1L,0.3,5,4,0.7,day,5,21.3,90535.16,2.4,33612.13,11.94,9.68,0
TR-0160,2026-04-26,SKU-RED-001,SKU-GOLD-001,4L,18L,0.9,4,0,0.7,night,6,25.61,87072.88,3.04,39094.13,12.33,11.64,0
TR-0161,2026-04-27,SKU-GREEN-001,SKU-WHITE-001,4L,18L,0.6,5,4,0.3,night,0,28.76,122217.59,3.69,43099.92,12.61,13.07,0
